trial_name,score,term_rmse,term_bias,term_range,term_variability,term_duration,term_setup,metric_spacing_column,metric_profile,metric_n_observations,metric_n_valid_NL,metric_n_valid_L,metric_rmse_NL_m,metric_bias_NL_m,metric_r_squared_NL,metric_rmse_L_m,metric_bias_L_m,metric_r_squared_L,metric_capture_rate_2x_NL,metric_rmse_timeline_obs_m,metric_bias_timeline_obs_m,metric_r_squared_timeline_obs,metric_capture_rate_timeline_obs_2x,metric_timeline_spacing_q10_m,metric_timeline_spacing_q90_m,metric_timeline_spacing_std_mean_m,metric_timeline_spacing_vs_integrated_supercriticality_corr,metric_timeline_spacing_vs_setup_corr,metric_kappa_mean,metric_kappa_min,metric_kappa_max,metric_Ra_mean,metric_Ra_min,metric_Ra_max,metric_diagnostic_best_family,metric_diagnostic_best_family_loocv_r2,metric_observed_q10_m,metric_observed_q90_m,metric_predicted_q10_m,metric_predicted_q90_m,metric_mean_timeline_std_m,metric_duration_corr_predicted_vs_integrated_supercriticality,metric_setup_corr_predicted_vs_setup_at_obs,cfg_relaxation_hours,cfg_decay_hours,cfg_setup_relaxation_hours,cfg_setup_decay_hours,cfg_setup_u_star_scale,cfg_setup_supercriticality_scale,cfg_setup_coherence_floor,cfg_immature_l_bias,cfg_recovery_gate_floor,cfg_merge_amplitude_threshold,cfg_merge_setup_threshold,cfg_merge_min_age_hours,cfg_merge_timescale_hours,cfg_merge_u_star_threshold,cfg_merge_step_factor
sample_023,111.85981499932714,55.93875043172831,0.26640688073806457,13.451235890695791,18.970885817053116,23.23253597911186,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,55.93875043172831,-1.0656275229522583,-0.08004184064629305,0.8717948717948718,61.32289914109577,82.53190850025065,5.676371394315628,-0.7293014391644743,0.7664955498097528,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,61.32289914109577,82.53190850025065,5.676371394315628,-0.7293014391644743,0.7664955498097528,7.326895787241676,17.392179071529267,23.231341442937957,38.074458897618264,0.002982451102879179,0.9275580895064222,0.07600395126126852,1.5569093630939206,0.32848604244138263,0.2819260485805317,0.5219276059056441,8.875096316180437,16.417729494765386,0.001354356625515338,0.7773464908059073
sample_021,116.78440019094657,66.41534676832669,2.8681963474572534,9.305623631909995,11.795325826633812,26.399907616618822,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,66.41534676832669,11.472785389829014,-0.5224812322441197,0.6666666666666666,53.51012413305269,113.15610355011873,8.068224724455396,-0.8559963046647528,0.8605816249754867,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,53.51012413305269,113.15610355011873,8.068224724455396,-0.8559963046647528,0.8605816249754867,8.29245249459008,31.78370532801941,14.402472055994984,26.67458338262502,0.002698489996883028,0.5861921800645644,0.24224947117312517,2.2672946600715145,0.08440497442440105,0.6176926702045358,0.5303902593705314,2.9295072498358916,12.796778399476462,0.0014070548771573403,0.7991749997985446
sample_016,118.73356746137506,59.744839534332705,0.48160692168378955,8.156942020719649,23.699789100652954,26.650389883985966,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,59.744839534332705,-1.9264276867351582,-0.2320146064082098,0.8461538461538461,51.7166450291727,88.05220830254514,4.100070299782349,-0.8660155953594385,0.7892476321482104,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,51.7166450291727,88.05220830254514,4.100070299782349,-0.8660155953594385,0.7892476321482104,9.292979844162936,38.89057420372802,30.02751109825827,42.95058780821504,0.002589774941195198,0.6227064599790605,0.32756053199569013,2.3014887542269946,0.07610816656451656,0.7009929223750404,0.5599981289814313,4.5810017771077485,17.904428339359747,0.0024529762551909456,0.836528433307101
sample_020,120.93471899038083,56.91559285893071,2.062661361004462,14.147317516983303,24.041999750869245,23.767147502593115,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,56.91559285893071,8.250645444017849,-0.118092120095312,0.7948717948717948,68.97967903644282,88.19988374906195,3.986000083043585,-0.7506859001037246,0.7947660446464873,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,68.97967903644282,88.19988374906195,3.986000083043585,-0.7506859001037246,0.7947660446464873,22.142422180747676,27.49960140770428,7.206546627138021,55.84326215059445,0.0020518568793793882,0.8346593610618793,0.26608023673717207,2.0704614193376423,0.4488041172289967,0.41033288682073293,0.44406179201137075,5.308422793992931,14.048799837850822,0.0015980723296457663,0.8612112262630115
sample_001,121.92914383155436,58.38639095249671,3.0600559019093665,13.288779383550663,23.210056466479077,23.983861127118534,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,58.38639095249671,12.240223607637466,-0.1766256744194754,0.717948717948718,71.66124255952374,93.33441336766471,4.263314511173641,-0.7593544450847413,0.8725592007956546,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.66124255952374,93.33441336766471,4.263314511173641,-0.7593544450847413,0.8725592007956546,9.161801170846061,35.8953676704966,22.24383660747275,32.78386587009355,0.0017299118866348486,0.07690368758818981,0.06214163824978197,1.7424361537953497,0.30887580462970005,0.5692310668887524,0.5610226548440359,11.969309293681322,17.69336542041968,0.0022138549612017366,0.8761102263042759
sample_010,122.64126994278651,58.05989636566086,4.9247337622812575,18.113608979860846,27.205511358451048,14.33751947653249,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,58.05989636566086,19.69893504912503,-0.1635031711300423,0.6410256410256411,87.16360349692033,95.0515468870322,2.9314962138496505,-0.37350077906129964,0.4537362215856285,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,87.16360349692033,95.0515468870322,2.9314962138496505,-0.37350077906129964,0.4537362215856285,6.179182094531255,20.951384732748117,8.358901114969196,52.54641627485175,0.0014024680169190259,0.717519467126797,0.4719007134710454,0.4916793352008698,0.39591131816030967,0.2356784909602031,0.5594237795709892,5.727514672964343,9.821592749335428,0.002941155804840111,0.9061658851444387
sample_002,123.5712213878075,59.94919872973618,4.955504267369133,15.502922418559839,17.421525927646627,25.742070044495723,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,59.94919872973618,19.822017069476534,-0.2404573142793205,0.6153846153846154,82.18457090396653,102.18822474106159,6.192824690784458,-0.829682801779829,0.7630856159939513,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,82.18457090396653,102.18822474106159,6.192824690784458,-0.829682801779829,0.7630856159939513,18.39204115027692,21.667642719373113,10.052895150672336,56.403347050868575,0.0019557795094465973,0.3447297817810078,0.24291767941589454,2.2458220190027007,0.4236174063824999,0.41467711802544216,0.6643414069013684,4.5405633018353635,11.508800483195149,0.001344778063767833,0.8139885601267587
sample_005,125.2431228933562,57.5587552237837,2.1188347887119594,15.826232816408954,27.298141443730373,22.441158620721218,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,57.5587552237837,8.475339154847838,-0.14350441350540089,0.8205128205128205,71.71770201322273,86.14100587034001,2.9006195187565416,-0.6976463448288487,0.8716570029621791,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.71770201322273,86.14100587034001,2.9006195187565416,-0.6976463448288487,0.8716570029621791,13.65411524728336,28.606403560461334,35.85289515705972,69.14084579651487,0.0018120993064800112,0.7698424030428769,0.24871134774380949,1.4174179684525718,0.364314280285523,0.44879350961340253,0.7539659644838012,8.822571657887249,16.912954985814054,0.000787331583202263,0.8949636280983142
sample_004,125.53460585226387,63.632782742263096,6.767117150710673,18.428698092848684,18.147768126558436,18.558239739882982,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,63.632782742263096,27.068468602842692,-0.39758068681177616,0.5384615384615384,84.42347790538625,108.30867680903857,5.950743957813855,-0.5423295895953193,0.718196843339931,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,84.42347790538625,108.30867680903857,5.950743957813855,-0.5423295895953193,0.718196843339931,13.281933116787508,15.95539133527766,8.722591368573656,48.498613615263636,0.0014571314922016297,0.6883951340585415,0.09975772198410665,2.3668601541649448,0.19604406729793145,0.26329716774213774,0.6960094833468401,11.198700083746541,9.046034475452544,0.002886476234226843,0.8399749952850353
sample_009,126.08969025838933,60.0816813236203,3.857092699464956,12.688921590702494,27.616565979972563,21.845428664629008,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,60.0816813236203,15.428370797859824,-0.24594598113870925,0.6666666666666666,71.45652104493138,94.84357126120997,2.7944780066758117,-0.6738171465851602,0.7754951423127038,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,71.45652104493138,94.84357126120997,2.7944780066758117,-0.6738171465851602,0.7754951423127038,13.432134168256068,34.54362912912731,24.795193872592606,69.70834799105677,0.001612689704401698,0.5749809349952228,0.29696210080658414,2.151069779032638,0.1081894152746127,0.44390620204887604,0.8504774289142634,1.473735774250246,15.163300482904031,0.0015384600934280617,0.9191529564667447
