location,variable,label,manual_n,wiggle_n,manual_mean,wiggle_mean,manual_median,wiggle_median,manual_std,wiggle_std,mean_diff_wiggle_minus_manual,median_diff_wiggle_minus_manual,cohens_d_wiggle_vs_manual,cliffs_delta_wiggle_vs_manual,auc_wiggle_gt_manual,mannwhitney_pvalue,ks_pvalue,mannwhitney_qvalue,abs_cliffs_delta,abs_cohens_d
America,wind_steadiness_prev_48h,"Wind steadiness
previous 48 h",9,7,0.6746022857561303,0.49643194362093707,0.630595861944303,0.4171797999826869,0.20345671130851972,0.24108302167220386,-0.17817034213519328,-0.21341606196161605,-0.8085041894266524,-0.4126984126984127,0.29365079365079366,0.18546509311703674,0.27010489510489516,0.7655008916769066,0.4126984126984127,0.8085041894266524
America,coherence_mean_prev_48h,"Coherence mean
previous 48 h",9,7,0.9857417663991858,0.9700132300639869,0.9925677092066532,0.978133616326726,0.012803036693454554,0.0314320598919992,-0.015728536335198884,-0.01443409287992714,-0.6916834596915176,-0.25396825396825395,0.373015873015873,0.4269226997859221,0.5727272727272728,0.7655008916769066,0.25396825396825395,0.6916834596915176
America,wind_std_prev_48h,"Wind variability
previous 48 h (m/s)",9,7,1.388609174752035,1.202495386299783,1.2822190254600423,1.169123457922193,0.47317970458379266,0.40850241044820745,-0.18611378845225213,-0.11309556753784933,-0.41672622361279216,-0.2222222222222222,0.3888888888888889,0.49111315110504294,0.7749999999999999,0.7655008916769066,0.2222222222222222,0.41672622361279216
America,integrated_supercriticality_prev_48h,"Integrated supercriticality
previous 48 h",9,7,17.00213364923512,17.40835497248334,17.07555710505881,17.340936403172435,1.14770474995603,1.2341899578072715,0.40622132324822147,0.2653792981136256,0.3426459009063422,0.2222222222222222,0.6111111111111112,0.49111315110504294,0.8276223776223776,0.7655008916769066,0.2222222222222222,0.3426459009063422
America,wind_max_prev_48h,"Max wind
previous 48 h (m/s)",9,7,6.522222222222222,6.184285714285714,5.84,6.65,1.578122125959979,1.9745957995064636,-0.337936507936508,0.8100000000000005,-0.19211677928680154,-0.15873015873015872,0.42063492063492064,0.6335891938021503,0.7136363636363634,0.7655008916769066,0.15873015873015872,0.19211677928680154
America,gust_mean_prev_48h,"Mean gust
previous 48 h (m/s)",9,7,7.214739229024945,6.5291545189504365,6.969387755102041,7.087755102040815,2.1907404665862513,2.3029620491957092,-0.685584710074508,0.11836734693877471,-0.30612963982193414,-0.15873015873015872,0.42063492063492064,0.6335891938021503,0.7136363636363634,0.7655008916769066,0.15873015873015872,0.30612963982193414
America,turning_mean_prev_48h_deg,"Mean turning
previous 48 h (deg/h)",9,7,8.256235827664398,12.556851311953354,7.020408163265306,12.591836734693878,3.0811107665784703,7.9634796908149195,4.300615484288956,5.571428571428572,0.7531803435363694,0.15873015873015872,0.5793650793650794,0.6335891938021503,0.27010489510489516,0.7655008916769066,0.15873015873015872,0.7531803435363694
America,turning_total_prev_48h_deg,"Total turning
previous 48 h (deg)",9,7,404.55555555555554,615.2857142857143,344.0,617.0,150.97442756234506,390.21050484993106,210.7301587301588,273.0,0.7531803435363692,0.15873015873015872,0.5793650793650794,0.6335891938021503,0.27010489510489516,0.7655008916769066,0.15873015873015872,0.7531803435363692
America,lambda_p_mean_prev_48h,"Mean peak wavelength
previous 48 h (m)",9,7,8.432824063869425,7.993879919696672,8.66049337768772,9.156756246943916,1.8808912532047393,2.152718894055723,-0.43894414417275307,0.49626286925619567,-0.21926229325646157,-0.15873015873015872,0.42063492063492064,0.6335891938021503,0.7136363636363634,0.7655008916769066,0.15873015873015872,0.21926229325646157
America,hours_supercritical_prev_48h,"Supercritical hours
previous 48 h",9,7,49.0,48.857142857142854,49.0,49.0,0.0,0.37796447300922725,-0.1428571428571459,0.0,-0.577350269189638,-0.14285714285714285,0.42857142857142855,0.31349994558358807,0.9998251748251749,0.7655008916769066,0.14285714285714285,0.577350269189638
America,wind_mean_prev_48h,"Mean wind
previous 48 h (m/s)",9,7,3.9371428571428573,3.643906705539359,4.023469387755102,4.345918367346939,1.2496708354607822,1.373433824268787,-0.2932361516034985,0.3224489795918366,-0.2248482994625544,-0.12698412698412698,0.4365079365079365,0.7108222565571276,0.7136363636363634,0.7655008916769066,0.12698412698412698,0.2248482994625544
America,Hs_mean_prev_48h,"Mean significant
wave height (m)",9,7,0.246334243313331,0.2279808443365686,0.251728164935818,0.2719021695312323,0.07817943027391774,0.08592881986281643,-0.018353398976762414,0.020174004595414297,-0.22494454129463712,-0.12698412698412698,0.4365079365079365,0.7108222565571276,0.7136363636363634,0.7655008916769066,0.12698412698412698,0.22494454129463712
