trial_name,score,term_rmse,term_bias,term_range,term_low_quantile,term_high_quantile,term_variability,term_duration,term_setup,metric_spacing_column,metric_profile,metric_n_observations,metric_n_valid_NL,metric_n_valid_L,metric_rmse_NL_m,metric_bias_NL_m,metric_r_squared_NL,metric_rmse_L_m,metric_bias_L_m,metric_r_squared_L,metric_capture_rate_2x_NL,metric_rmse_timeline_obs_m,metric_bias_timeline_obs_m,metric_r_squared_timeline_obs,metric_capture_rate_timeline_obs_2x,metric_timeline_spacing_q10_m,metric_timeline_spacing_q90_m,metric_timeline_spacing_std_mean_m,metric_timeline_spacing_vs_integrated_supercriticality_corr,metric_timeline_spacing_vs_coherent_run_corr,metric_timeline_spacing_vs_coherent_run_mean_corr,metric_timeline_spacing_vs_setup_corr,metric_kappa_mean,metric_kappa_min,metric_kappa_max,metric_Ra_mean,metric_Ra_min,metric_Ra_max,metric_diagnostic_best_family,metric_diagnostic_best_family_loocv_r2,metric_observed_q10_m,metric_observed_q90_m,metric_predicted_q10_m,metric_predicted_q90_m,metric_mean_timeline_std_m,metric_duration_corr_predicted_vs_coherent_run_at_obs,metric_duration_corr_predicted_vs_coherent_run_mean_prev_48h,metric_setup_corr_predicted_vs_setup_at_obs,cfg_relaxation_hours,cfg_decay_hours,cfg_coherent_u_star_threshold,cfg_coherent_u_star_scale,cfg_coherent_coherence_threshold,cfg_coherent_decay_hours,cfg_coherent_hours_cap,cfg_setup_hours_scale,cfg_setup_supercriticality_scale,cfg_onset_mode_blend_power,cfg_recovery_gate_floor,cfg_expression_near_onset_setup,cfg_expression_near_onset_hours,cfg_merge_amplitude_threshold,cfg_merge_setup_threshold,cfg_merge_min_age_hours,cfg_merge_timescale_hours,cfg_merge_coherent_hours_threshold,cfg_merge_u_star_threshold,cfg_merge_step_factor
sample_001,92.61534208909578,63.87950326555068,1.3974826154492384,6.195056289596848,4.282917453970254,2.797146876997573,14.063235587531189,0.0,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,63.87950326555068,5.589930461796953,-0.4084392501247649,0.6923076923076923,50.92610347892563,106.85278894049394,7.312254804156271,-0.8941911346461504,0.9202007457688076,0.7921311843739238,0.9389252962533884,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,50.92610347892563,106.85278894049394,7.312254804156271,0.9202007457688076,0.7921311843739238,0.9389252962533884,6.509754080618333,13.728498294986919,0.003511873244080891,0.0021532548277782004,0.6884618113146896,11.057228639499552,119.73215383576425,17.69336542041968,0.70126488525666,1.835872624908851,0.325378692228376,0.33335285438746226,3.296640585380991,0.6328930041164491,0.6389448773616493,4.412660631148512,9.773365741308625,32.46361069916801,0.005736174063824999,0.8058708472101768
sample_003,116.66475160545701,59.72775106432553,3.7750733658897095,13.809857471866682,15.527632039424672,0.25506221413725144,23.569375449813165,0.0,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,59.72775106432553,15.100293463558838,-0.23130993521165677,0.717948717948718,79.03788994256168,100.49757728334313,4.143541516728945,-0.8723001183210165,0.43671200564290735,0.5514824029868066,0.398623324888714,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,79.03788994256168,100.49757728334313,4.143541516728945,0.43671200564290735,0.5514824029868066,0.398623324888714,13.281933116787508,15.95539133527766,0.0017722591368573657,0.0019927977263684417,0.5142828730504074,17.111892437083547,43.15348262094848,17.073809768103963,0.3968546598325871,0.800441031183436,0.3016432606158837,0.6562927318407205,8.486411630168327,0.7727542962144425,0.6249426975282059,5.677514873339831,11.923415232246045,35.84308816753037,0.005795774699751061,0.830410833434183
sample_000,178.09672431990666,76.34256987043055,13.039620064830562,36.634016250526244,29.090768443574042,12.776678699884531,10.213070990660722,0.0,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,76.34256987043055,52.158480259322246,-1.0116323410263495,0.358974358974359,112.94573095293511,131.80161849771133,8.595643003113093,-0.41824115173473536,0.47567245130477154,0.22018543041764138,0.46822913618248563,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,112.94573095293511,131.80161849771133,8.595643003113093,0.47567245130477154,0.22018543041764138,0.46822913618248563,17.465310371786178,18.093601412916108,0.0016229205718085841,0.0006396663252684698,0.7972986315601498,22.167867122832156,82.23703447364926,13.671944975743974,0.5664437418921517,2.3766376051967595,0.3763414216486129,0.10164310010208887,15.57587270198868,0.2201513451832786,0.7513104955364692,2.932211826628149,15.810862757598185,21.326759047970935,0.003198847562149539,0.821444933087438
sample_002,198.22402312106323,94.15405117352391,13.587999223546802,42.224920604529835,13.60085067119392,34.65620144826876,0.0,0.0,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,94.15405117352391,54.35199689418721,-2.059800287130504,0.46153846153846156,74.2209365219848,186.5004253686719,14.21656425214423,-0.7573035173665986,0.9189214639371994,0.8880152209266693,0.7825210525980679,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,74.2209365219848,186.5004253686719,14.21656425214423,0.9189214639371994,0.8880152209266693,0.7825210525980679,16.287536953135696,19.656081732278267,0.00328290009059909,0.0014109869412171198,0.5653904502904887,21.69576139210064,45.80712897920445,11.970994314976679,0.1298145764032656,2.182023880541456,0.36483932299547334,0.2436216657957713,15.900231923781964,0.2351408208831166,0.5348643833001132,2.6530741358432297,9.205429866388592,29.482376649193416,0.0029225688359749897,0.7324851122554583
default,203.6165472822478,103.50639365572117,13.578348882915042,40.38150888035208,6.958435638642616,39.1918602246169,0.0,0.0,0.0,manual_spacing_m,shallow_lake_dynamic,39,39,39,57.29017673952505,19.643942815825568,-0.1328577571111853,58.48146529655712,-22.858946135722142,-0.18046074599853767,0.6153846153846154,103.50639365572117,54.31339553166017,-2.6978510457616536,0.4358974358974359,57.61489894060654,197.83957230954226,18.388727038423365,-0.8240741482451859,0.943353308174838,0.8419411684130366,0.8192583512599555,2.1057185199861186,2.100617485663704,2.107321277332965,37976.56399605547,31835.29199144628,39650.65767342675,wave_history_proxy,0.018007145849455175,40.218809844,99.859921748,57.61489894060654,197.83957230954226,18.388727038423365,0.943353308174838,0.8419411684130366,0.8192583512599555,12.0,18.0,0.003,0.002,0.6,8.0,72.0,10.0,0.25,1.5,0.18,0.35,4.0,0.4,0.55,3.0,6.0,10.0,0.003,0.85
